Exchange,ErrorCode,ErrorMsg
中金所,1080,用户无此权限
中金所,1083,止损单仅用于连续交易
中金所,1084,止损单需是IOC或GFD
中金所,1089,执行宣告字段错误
中金所,1090,执行宣告操作字段错误
中金所,1091,重复的执行宣告
中金所,1092,执行宣告已经取消
中金所,1093,执行宣告找不到
中金所,1094,执行宣告只能用于期权
中金所,1095,止损报单需说明止损价
中金所,1096,保值额度不足
中金所,1097,重复的操作
中金所,1099,不能为其他用户操作
中金所,1100,错误的用户类型
中金所,1101,结算会员不能做交易
中金所,1102,无法找到对应结算会员
中金所,1103,当日套保仓位不能平仓
中金所,1104,不明管理指令
中金所,1106,重复的会话
中金所,1107,无此功能的权限
中金所,1108,需结算会员做此操作
中金所,1109,结算交易会员不匹配
中金所,1110,管理指令字段错误
中金所,1111,信用限额不足
中金所,1113,信用限额尚未初始化过
中金所,1114,最优价单不能排队
中金所,1121,没有报价权限
中金所,1122,询价字段错误
中金所,1123,询价客户字段不能为空
中金所,1124,询价会员字段不能为空
中金所,1125,价格超出波动带
中金所,1126,价格跌破波动带
中金所,1127,市价单需在连续交易阶段
中金所,1128,任意价单有效期类型不正确
中金所,1129,最优价单有效期类型不正确
中金所,1130,五档价单有效期类型不正确
中金所,1131,组合持仓数量不足
中金所,1132,组合单腿持仓数量不足
中金所,1133,不支持的组合动作方向
中金所,1134,没有组合权限
中金所,1135,组合规则不存在
中金所,1136,组合单腿保证金收取方式不同
中金所,1137,组合合约保证金率找不到
中金所,1138,订单触发自成交
中金所,1139,超出开仓手数限制
中金所,1143,OTC对手方会员风控检查失败
中金所,1144,OTC对手方交易检查失败
中金所,1901,当前交易日…不可进行期转现申报
中金所,1902,申报时间不在规定范围内
中金所,1903,现货成交日期不同
中金所,1904,跨日期转现申报不能超过次日…
中金所,1905,合约… 不可进行期转现交易
中金所,1906,协商一致日期不能小于上一交易日
中金所,1907,协商一致日期不能大于当前交易日
中金所,1908,协商一致日期与现货成交日期不一致
中金所,1909,协商一致时间不能大于申报时间
中金所,1910,当前不可进行期转现申报
中金所,1911,现货交易成交编号..与当
中金所,1912,现货交易成交编号…与上一日期转现申报重复
中金所,1913,交易双方客户号不能相同
中金所,1914,期转现多笔现货买卖方向不一致
中金所,1915,期转现申报中现货买卖方向有误
中金所,1916,期转现申报中期货买卖方向有误
中金所,1917,期转现申报中期现货买卖方向相同
中金所,1918,现货…不可参与期转现交易
中金所,1919,非法人投资者之间不能以期转现交易方式达成交易
中金所,1920,(交易所审核不通过的具体原因)
中金所,1951,会员不可参与期转现交易
中金所,1952,客户不可参与期转现交易
中金所,1954,客户…无交易权限
郑商所,1001,操作失败
郑商所,1150,指定会员委托单撤销成功
郑商所,3001,报文类型错误或不可识别
郑商所,3002,报文正文类型错误或系统不支持
郑商所,3003,报文完整性错误（报文实际正文长度不等于报头中正文长度）
郑商所,3004,报文链代码错
郑商所,3005,版本错误
郑商所,3006,域个数错误
郑商所,3007,数据流登录模式不正确
郑商所,3009,最新本地委托单号必须大于已下成功本地委托单号
郑商所,3010,没有新成交合约
郑商所,1215,你对指定商品没有交易权限
郑商所,1236,出错 : 贵公司持仓已经超过交易所规定最大持仓限制
郑商所,1237,出错 : 贵公司持仓已经超过交易所规定最大持仓限制
郑商所,1251,出错 : 现在是协议平仓时间 您的公司不在协议平仓之列
郑商所,1254,出错：没有查询到相应的记录
郑商所,1255,出错 : 套期保值额度不够
郑商所,1258,出错：期权放弃必须在期权最后交易日
郑商所,1261,出错：没有该合约的做市商
郑商所,1266,出错：请求合约目前报价已经合理
郑商所,1301,出错：组合定单方式不正确
郑商所,1302,出错：组合定单限制方式不正确
郑商所,1303,出错：没有这样的组合方式
郑商所,1304,出错： SPD 组合定单错误
郑商所,1305,出错： IPS 组合定单错误
郑商所,1306,出错： BUL 组合定单错误
郑商所,1307,出错： BER 组合定单错误
郑商所,1308,出错： BLT 组合定单错误
郑商所,1309,出错： BRT 组合定单错误
郑商所,1310,出错： STD 组合定单错误
郑商所,1311,出错： STG 组合定单错误
郑商所,1312,出错：限价单价格不能为 0
郑商所,1313,出错：止损定单价格不能是可成交的价格
郑商所,1315,出错：系统内存表已满
郑商所,1316,出错： 该客户没有在你公司处登记
郑商所,1318,出错：指定的交易品种不进行开盘竟价
郑商所,1319,出错：委托定单限制域不正确
郑商所,1320,出错：定单类型不正确
郑商所,1321,出错：定单有效日期不正确
郑商所,1322,出错：套期保值标志不正确
郑商所,1323,出错：会员没有相应的买卖权限
郑商所,1324,出错：该客户没有相应的买卖权限
郑商所,1327,出错：委托单修改定义错误
郑商所,1329,出错 : 委托单价格低于下停板额
郑商所,1330,出错：报单请求数超过最大值
郑商所,1364,出错：目前不允许长期有效定单
郑商所,1410,出错：单方无报价时不接受期货组合定单
郑商所,1602,出错：现在是非交易时间
郑商所,1604,出错 : 非法交易商品代码
郑商所,1608,出错 : 非法会员公司代码
郑商所,1610,出错 : 非法交易员代码
郑商所,1635,出错 : 现在不能输入市价委托单
郑商所,1638,出错 : 委托单价格不是最小变动价位整数倍
郑商所,1640,出错 : 非法买卖标志
郑商所,1641,出错 : 指定商品现在不能进行交易
郑商所,1642,出错 : 买卖数量不能为零或负数
郑商所,1643,出错 : 非法开平仓标志
郑商所,1646,出错 : 平仓数量超过持仓量
郑商所,1669,出错 : Internal Error
郑商所,1673,出错 : 非法登录请求
郑商所,1674,出错 : 非法口令
郑商所,1675,出错 : 你不能从该工作站登录系统
郑商所,1679,出错 : 所撤委托单没有找到
郑商所,1681,出错 : 非法客户代码
郑商所,1691,出错 : 该会员公司保证金不足
郑商所,1708,出错 : 买卖数量超过限价单最大下单量限制
郑商所,1711,出错：该委托单已成交
郑商所,1755,出错：自然人客户交割月不能开新仓
郑商所,1790,出错：没有相应的保值申请，不能输入保值单
郑商所,4001,还没有打开信道，不能登录
郑商所,4002,发送链路密钥协商请求失败
郑商所,4003,链路密钥协商应答超时
郑商所,4004,发送登录请求失败
郑商所,4005,登录应答超时
郑商所,4006,此数据流不在登录状态，不能退出登录
郑商所,4007,发送退出登录请求失败
郑商所,4008,退出登录应答超时
郑商所,4009,不在登录状态，不能发送数据
郑商所,4010,FTD 报文 出错
郑商所,4011,接收数据错误
郑商所,4012,FTD 流序号错误： 请求没有得到应答或者应答顺序不正确 应该先请求先应答
郑商所,4013,FTD 流序号错误：应答记录没有找到对应请求
郑商所,4014,FTD 报文格式出现错误
郑商所,4015,无法识别的事务应答，可能是 API 版本过低
郑商所,4018,数据流标识错误
郑商所,4019,重复登录
郑商所,4020,交易员编码不存在
郑商所,4021,交易员编码前后不一致
郑商所,5001,登录协议版本号错误
郑商所,5003,UDP 端口打开失败
郑商所,5004,UDP 接收线程启动失败
大商所,11001,会员或交易员不符
大商所,11002,会员不符
大商所,11003,CA认证尚未通过，拒绝发送交易
大商所,11004,登录尚未成功，拒绝发送交易
大商所,11005,操作员无权发送该交易
大商所,11006,发送交换机机失败
大商所,11007,用户不符
大商所,11008,密码修改失败
大商所,11009,Ca认证请求包错误
大商所,11010,已经经过CA 认证
大商所,11011,没有经过CA 认证 Session
大商所,11012,Session认证请求包错误
大商所,11013,登录包错误
大商所,11014,已经登录
大商所,11015,交易员不能超级登录
大商所,11016,定单来源检查错误
大商所,11017,登出
大商所,11018,此本地报单号对应的定单已报入
大商所,11019,席位不存在
大商所,11020,用户不存在
大商所,11021,登录与认证时的席位号不一致
大商所,11022,登录与认证时的用户号不一致
大商所,11023,登录类型错误
大商所,11024,会员不存在
大商所,11025,客户不存在
大商所,11026,合约不存在
大商所,11027,套利合约不存在
大商所,11028,组合合约不存在
大商所,11029,结算账号不存在
大商所,11030,流控上限值修改失败
大商所,11031,该报文在流控范围内
大商所,11032,网关还没有准备好
大商所,11033,席位和网关的行情等级不匹配
大商所,11034,API版本号错误
大商所,11035,ip或端口号错误
大商所,11036,APP信息未填写
大商所,31001,市场状态不允许
大商所,31002,会员号不能为空
大商所,31003,合约不存在
大商所,31004,会员客户检查不通过
大商所,31005,申请数量不合理
大商所,31006,履约对冲申请记录不存在
大商所,31007,期权执行申请记录已撤销
大商所,31008,对冲标志设置错误
大商所,31009,非到期日不能进行设置
大商所,31010,重复设置
大商所,31011,投保标志设置错误
大商所,31012,期权执行申请失败
大商所,31013,履约对冲设置失败
大商所,31014,履约对冲撤销失败
大商所,31015,期权对冲设置失败
大商所,31016,期权对冲撤销失败
大商所,31017,取消自动行权设置失败
大商所,31018,取消自动行权撤销失败
大商所,31019,合约类型不是期权
大商所,31020,品种交易状态不存在
大商所,31021,发送数据包失败
大商所,31022,品种交易状态不允许
大商所,31023,品种延时闭市时间上场失败
大商所,31024,品种延时闭市控制表插入失败
大商所,31025,合约交易状态不存在
大商所,31026,合约交易状态不允许
大商所,31027,品种延时闭市时间记录不存在
大商所,31028,取消自动行权申请记录不存在
大商所,31029,期权对冲申请记录不存在
大商所,31030,期权行权申请记录不存在
大商所,31031,延时闭市状态控制表为空
大商所,41001,定单类别检查错误
大商所,41002,定单类型检查错误
大商所,41003,开平标志错误
大商所,41004,买卖标志检查错误
大商所,41005,投保标志检查错误
大商所,41006,定单属性检查错误
大商所,41007,此定单类别只能下一个定单
大商所,41008,批量定单只能有两个单子
大商所,41009,批量定单两腿定单类别不一致
大商所,41010,会员客户检查不通过
大商所,41011,已经销户
大商所,41012,席位不存在
大商所,41013,席位不属于会员
大商所,41014,合约交易权限检查，合约不可以交易
大商所,41015,合约交易权限检查，合约只可平仓
大商所,41016,该客户该合约不可交易
大商所,41017,该客户该合约只可平仓
大商所,41018,该席位该合约不可交易
大商所,41019,该席位该合约只可平仓
大商所,41020,套利合约不存在
大商所,41021,合约不存在
大商所,41022,批量单只可一个期权定单和一个期货定单
大商所,41023,合约未上市
大商所,41024,下单数量不在合理范围内
大商所,41025,价格最小变动单位不能为0
大商所,41026,价格最小变动单位不符合
大商所,41027,合约行情不存在
大商所,41028,价位不在涨跌幅度内
大商所,41029,止损价位不在涨跌幅度内
大商所,41030,买限价止损单止损价应低于触发后限价
大商所,41031,卖限价止损单止损价应高于触发后限价
大商所,41032,买限价止盈单止盈价应低于触发后限价
大商所,41033,卖限价止盈单止盈价应高于触发后限价
大商所,41034,套利合约行情不存在
大商所,41035,定单状态检查不合法
大商所,41036,定单修改只能修改限价单
大商所,41037,该品种当前是初始化后
